module_name,file_path,language,line,guarded_by_ifdef,parameters,instantiated_by
VX_afu_ctrl,hw/rtl/afu/xrt/VX_afu_ctrl.sv,sv,16,,S_AXI_ADDR_WIDTH|S_AXI_DATA_WIDTH,
VX_afu_wrap,hw/rtl/afu/xrt/VX_afu_wrap.sv,sv,16,,C_S_AXI_CTRL_ADDR_WIDTH|C_S_AXI_CTRL_DATA_WIDTH|C_M_AXI_MEM_ID_WIDTH|C_M_AXI_MEM_DATA_WIDTH|C_M_AXI_MEM_ADDR_WIDTH|C_M_AXI_MEM_NUM_BANKS,
VX_allocator,hw/rtl/libs/VX_allocator.sv,sv,17,,SIZE|ADDRW,
VX_alu_int,hw/rtl/core/VX_alu_int.sv,sv,16,,BLOCK_IDX|NUM_LANES,
VX_alu_muldiv,hw/rtl/core/VX_alu_muldiv.sv,sv,16,,NUM_LANES,
VX_alu_unit,hw/rtl/core/VX_alu_unit.sv,sv,16,,,
VX_avs_adapter,hw/rtl/libs/VX_avs_adapter.sv,sv,17,,DATA_WIDTH|ADDR_WIDTH_IN|ADDR_WIDTH_OUT|BURST_WIDTH|NUM_BANKS|TAG_WIDTH|RD_QUEUE_SIZE|BANK_INTERLEAVE|REQ_OUT_BUF|RSP_OUT_BUF,
VX_axi_adapter,hw/rtl/libs/VX_axi_adapter.sv,sv,17,,DATA_WIDTH|ADDR_WIDTH_IN|ADDR_WIDTH_OUT|TAG_WIDTH_IN|TAG_WIDTH_OUT|NUM_BANKS|BANK_INTERLEAVE|TAG_BUFFER_SIZE|RSP_OUT_BUF,
VX_axi_write_ack,hw/rtl/libs/VX_axi_write_ack.sv,sv,17,,,VX_afu_wrap|VX_axi_adapter
VX_bank_flush,hw/rtl/cache/VX_bank_flush.sv,sv,16,,BANK_ID|CACHE_SIZE|LINE_SIZE|NUM_BANKS|NUM_WAYS|WRITEBACK,
VX_bits_insert,hw/rtl/libs/VX_bits_insert.sv,sv,17,,N|S|POS,
VX_bits_remove,hw/rtl/libs/VX_bits_remove.sv,sv,17,,N|S|POS,
VX_blend_func,hw/rtl/om/VX_om_blend_func.sv,sv,18,,INDEX,VX_om_blend_func
VX_bypass_buffer,hw/rtl/libs/VX_bypass_buffer.sv,sv,25,,DATAW|PASSTHRU,
